# OpenSignals Text File Format
# {"CC:78:AB:5E:9D:17":{"sensor":["EMGBITREV","RAW","RAW","RAW","RAW","RAW"],"device name":"CC:78:AB:5E:9D:17","column":["nSeq","I1","I2","O1","O2","A1","A2","A3","A4","A5","A6"],"sync interval":2,"time":"12:44:33","comments":"","device connection":"BLECC:78:AB:5E:9D:17","channels":[1,2,3,4,5,6],"date":"2022-05-11","mode":0,"digital IO":[0,0,1,1],"firmware version":0,"device":"bitalino_rev","position":0,"sampling rate":100,"label":["A1","A2","A3","A4","A5","A6"],"resolution":[10,10,10,10,6,6],"special":[{},{},{},{},{},{}]}}
# EndOfHeader
0	0	0	0	0	515	524	0	520	38	6
1	0	0	0	0	512	524	0	520	38	6
2	0	0	0	0	525	518	0	519	38	6
3	0	0	0	0	517	520	0	519	38	6
4	0	0	0	0	509	519	0	517	38	6
5	0	0	0	0	511	521	0	517	38	6
6	0	0	0	0	515	523	0	520	39	6
7	0	0	0	0	524	523	0	524	39	6
8	0	0	0	0	518	524	0	518	39	6
9	0	0	0	0	512	528	0	521	38	6
10	0	0	0	0	527	527	0	523	38	6
11	0	0	0	0	496	524	0	533	38	6
12	0	0	0	0	515	520	0	518	38	6
13	0	0	0	0	508	514	0	524	38	6
14	0	0	0	0	508	508	0	527	38	6
15	0	0	0	0	523	501	0	525	39	6
0	0	0	0	0	507	492	0	524	39	6
1	0	0	0	0	518	481	0	524	39	6
2	0	0	0	0	511	473	0	524	39	6
3	0	0	0	0	521	465	0	521	39	6
4	0	0	0	0	538	461	0	522	38	6
5	0	0	0	0	507	460	0	525	38	6
6	0	0	0	0	512	461	0	529	38	6
7	0	0	0	0	524	456	0	523	39	6
8	0	0	0	0	508	459	0	526	39	6
9	0	0	0	0	522	459	0	514	38	6
10	0	0	0	0	514	461	0	522	38	6
11	0	0	0	0	503	462	0	517	38	6
12	0	0	0	0	517	464	0	516	38	6
13	0	0	0	0	507	468	0	523	36	6
14	0	0	0	0	521	468	0	524	38	6
15	0	0	0	0	523	475	0	520	38	6
0	0	0	0	0	502	477	0	534	38	6
1	0	0	0	0	520	479	0	518	38	6
2	0	0	0	0	497	486	0	525	38	6
3	0	0	0	0	538	487	0	517	38	6
4	0	0	0	0	509	492	0	516	38	6
5	0	0	0	0	519	495	0	515	38	6
6	0	0	0	0	519	499	0	517	38	6
7	0	0	0	0	508	503	0	525	39	6
8	0	0	0	0	511	507	0	517	38	6
9	0	0	0	0	536	510	0	521	38	6
10	0	0	0	0	509	509	0	519	38	6
11	0	0	0	0	500	510	0	518	39	6
12	0	0	0	0	499	511	0	522	38	6
13	0	0	0	0	513	513	0	522	38	6
14	0	0	0	0	513	514	0	519	38	6
15	0	0	0	0	512	513	0	515	38	6
0	0	0	0	0	527	518	0	519	37	6
1	0	0	0	0	508	517	0	536	37	6
2	0	0	0	0	522	519	0	518	37	6
3	0	0	0	0	507	521	0	513	38	6
4	0	0	0	0	512	523	0	517	38	6
5	0	0	0	0	519	524	0	510	38	6
6	0	0	0	0	510	528	0	514	39	6
7	0	0	0	0	514	529	0	512	38	6
8	0	0	0	0	516	524	0	515	38	6
9	0	0	0	0	518	529	0	509	38	6
10	0	0	0	0	515	529	0	514	38	6
11	0	0	0	0	513	526	0	517	39	6
12	0	0	0	0	519	528	0	515	38	6
13	0	0	0	0	521	528	0	518	38	6
14	0	0	0	0	498	529	0	517	37	6
15	0	0	0	0	523	529	0	517	39	6
0	0	0	0	0	517	527	0	515	38	6
1	0	0	0	0	510	527	0	519	38	6
2	0	0	0	0	509	526	0	521	38	6
3	0	0	0	0	521	524	0	514	38	6
4	0	0	0	0	507	523	0	515	38	6
5	0	0	0	0	520	522	0	515	38	6
6	0	0	0	0	507	523	0	515	38	6
7	0	0	0	0	513	523	0	511	38	6
8	0	0	0	0	519	523	0	517	38	6
9	0	0	0	0	515	524	0	510	38	6
